Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
Yoga,0.554334,0.12101005654076853,0.443492,0.17589550868626522
WormsTwoClass,0.696102,0.04969304876942043,0.676518,0.07837646110918761
Worms,0.688312,0.031811523320960294,0.624036,0.05143309308217813
WordSynonyms,0.5601879999999999,0.016956949489810955,0.39605199999999996,0.020441541429158404
Wine,0.5,0.0,0.33333,0.0
Wafer,0.996044,0.0006855537907414891,0.989724,0.0017893976640199166
UWaveGestureLibraryZ,0.700056,0.025895919833054778,0.678922,0.040118576943854824
UWaveGestureLibraryY,0.668006,0.02611839704116621,0.6507820000000001,0.03657781097878874
UWaveGestureLibraryX,0.763986,0.028460884455687584,0.7565519999999999,0.035492070889143676
UWaveGestureLibraryAll,0.9051359999999999,0.03897622690820651,0.8970079999999999,0.05276470388432023
UMD,0.9402760000000001,0.011282319974189695,0.9406040000000001,0.01100440929809499
TwoPatterns,0.999,0.0010246950765959663,0.9990080000000001,0.001013477182772281
TwoLeadECG,0.9710260000000002,0.02119716169679326,0.9709720000000001,0.02126825559372464
Trace,1.0,0.0,1.0,0.0
ToeSegmentation2,0.8400000000000001,0.008971091349440147,0.7745380000000001,0.012754653111707901
ToeSegmentation1,0.93421,0.003926535368489636,0.9341060000000001,0.003938225996562414
SyntheticControl,0.994002,0.0032676193168727366,0.994002,0.0032676193168727366
Symbols,0.96824,0.0036288179893734064,0.9685039999999999,0.003562732659069443
SwedishLeaf,0.8134399999999999,0.07765260072914494,0.788152,0.09665281938981395
Strawberry,0.716756,0.1190105283745938,0.603658,0.19787210691757443
StarLightCurves,0.922438,0.04258830703373873,0.84927,0.1207196209404254
SonyAIBORobotSurface2,0.86233,0.005683136457978116,0.8560839999999998,0.007233584450326155
SonyAIBORobotSurface1,0.9474199999999999,0.011935024088790094,0.946686,0.011812790694835835
SmoothSubspace,0.9346679999999999,0.0077743743156603925,0.934248,0.007972215250480892
SmallKitchenAppliances,0.584532,0.1417239307103779,0.5362180000000001,0.18395395960946315
ShapesAll,0.730666,0.01368522356412201,0.705934,0.019926236573924356
ShapeletSim,0.5177780000000001,0.035556000000000004,0.36878,0.0709
