Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
ECG200,0.7899999999999999,0.041952353926806046,0.7494400000000001,0.06287528226576797
DodgerLoopWeekend,0.856522,0.09250341299649437,0.8363659999999999,0.09266346304774069
DodgerLoopGame,0.768116,0.09039012746976297,0.7669400000000001,0.09151641798060062
DodgerLoopDay,0.37,0.043011626335213125,0.331926,0.03386782520328106
DistalPhalanxTW,0.644604,0.014095588813526029,0.37430599999999997,0.02474448916425635
DistalPhalanxOutlineCorrect,0.6528959999999999,0.03877887600227734,0.5396340000000001,0.08794483761995359
DistalPhalanxOutlineAgeGroup,0.605756,0.0509499890480852,0.44784999999999997,0.06428404872128077
DiatomSizeReduction,0.371894,0.0883284612341911,0.203288,0.10174685123383427
Crop,0.623846,0.010705965813507894,0.60792,0.01395532443191486
CricketZ,0.634358,0.015605985262071742,0.62298,0.015556733590313895
CricketY,0.537948,0.018520370838619852,0.532746,0.020560750569957292
CricketX,0.628718,0.013313632712374174,0.6206639999999999,0.014567060925251877
Computers,0.6888,0.005878775382679582,0.6865020000000001,0.006313973075647363
Coffee,0.8428599999999999,0.19112924360233313,0.813146,0.24949127861310103
CinCECGTorso,0.56319,0.06357232825687603,0.543672,0.0685222963421396
ChlorineConcentration,0.550884,0.00704246150149224,0.29727,0.01444529127432188
Chinatown,0.896208,0.04067255457922455,0.8697779999999999,0.05148057474426638
Car,0.623332,0.12320036077869252,0.6075079999999999,0.13774666738618396
CBF,0.9608880000000001,0.023981383946719993,0.96082,0.024161629084149094
BirdChicken,0.6900000000000001,0.11135528725660046,0.687324,0.11130284769043425
BeetleFly,0.76,0.0969535971483266,0.7532059999999999,0.10296191773660784
Beef,0.386666,0.04521484517279696,0.32369800000000004,0.055105651035079875
BME,0.6880019999999999,0.05170896340094241,0.68138,0.05326706336940306
ArrowHead,0.5782860000000001,0.07011642335430411,0.560128,0.0698664584475269
AllGestureWiimoteZ,0.5342840000000001,0.017773380770129243,0.520796,0.02068018820030416
AllGestureWiimoteY,0.6114280000000001,0.01228970040318313,0.599604,0.010376484182997622
AllGestureWiimoteX,0.570858,0.015533011813553753,0.5635579999999999,0.013880454459418838
Adiac,0.277236,0.04260056506667489,0.22061999999999998,0.04484728397573259
ACSF1,0.546,0.053141321022345686,0.5066620000000001,0.06608825777700607
