Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
Yoga,0.609,0.09005031438035072,0.5673959999999999,0.14341890427694667
WormsTwoClass,0.711688,0.05155905406424752,0.693896,0.05865638536425509
Worms,0.6649360000000001,0.046025503625707335,0.6083459999999999,0.040670440174652656
WordSynonyms,0.61442,0.01340977404731339,0.453646,0.016016200048700698
Wine,0.503704,0.007407999999999992,0.34130600000000005,0.015951999999999987
Wafer,0.994388,0.0036630227954518807,0.9851320000000001,0.010218730645241597
UWaveGestureLibraryZ,0.71781,0.016259747845523313,0.702344,0.021626471371908994
UWaveGestureLibraryY,0.6829160000000001,0.028948697103669457,0.661738,0.041596669289740006
UWaveGestureLibraryX,0.783418,0.037355105889289086,0.772536,0.04535161897881928
UWaveGestureLibraryAll,0.9239559999999999,0.03367229638738647,0.9239,0.03382822194558856
UMD,0.929168,0.032981532650863864,0.929392,0.03275591329821227
TwoPatterns,0.9990500000000001,0.00036742346141746345,0.999056,0.0003720537595563207
TwoLeadECG,0.9650559999999999,0.009986131583350967,0.965028,0.010006324799845331
Trace,1.0,0.0,1.0,0.0
ToeSegmentation2,0.8061539999999999,0.06103504095189909,0.734088,0.05652852214590437
ToeSegmentation1,0.9210499999999999,0.015934248648744005,0.920574,0.01652396877266477
SyntheticControl,0.9940000000000001,0.005736821419566737,0.993998,0.005740541437878485
Symbols,0.9672360000000001,0.004100690673532928,0.9675100000000001,0.004026040238249002
SwedishLeaf,0.88064,0.03218506485934121,0.875218,0.036939168046939024
Strawberry,0.812432,0.10205266236605492,0.8057359999999999,0.09971272628907506
StarLightCurves,0.9677980000000002,0.009642846882534225,0.9516199999999999,0.017063343165980113
SonyAIBORobotSurface2,0.8528839999999999,0.012226362664341326,0.8470980000000001,0.011693503153460905
SonyAIBORobotSurface1,0.844262,0.15347046952427035,0.83599,0.16918820786331415
SmoothSubspace,0.9199999999999999,0.0276484278034032,0.919528,0.027690527911182948
SmallKitchenAppliances,0.676798,0.09256545843887988,0.6381140000000001,0.1384511579727667
ShapesAll,0.803666,0.019533913688761933,0.7930740000000001,0.0214597871378073
ShapeletSim,0.522222,0.018594171559927077,0.51606,0.02353295306586064
ShakeGestureWiimoteZ,0.8560000000000001,0.03200000000000003,0.8425100000000001,0.042228117173276875
SemgHandSubjectCh2,0.511556,0.04491875358911911,0.45912600000000003,0.06866003542090551
SemgHandMovementCh2,0.33288799999999996,0.046898621472277836,0.253618,0.04390482132978108
