Dataset,Accuracy,Acc. STD,F1,F1 STD
ACSF1,0.726,0.024083189157584613,0.7118525150090806,0.030502124472859198
Adiac,0.6455242966751918,0.006910105414888162,0.6131047063067289,0.006842832770450574
AllGestureWiimoteX,0.5765714285714285,0.01883331828305942,0.5830864848309735,0.013925020989627087
AllGestureWiimoteY,0.5611428571428572,0.020538664384372168,0.5607976345550454,0.02068785188007747
AllGestureWiimoteZ,0.5605714285714286,0.027322712388137785,0.5630548672097716,0.027051890382305935
ArrowHead,0.7897142857142857,0.06557749738489037,0.786279772176824,0.0693602077407376
BME,0.8746666666666667,0.046761807778000486,0.8750294413397885,0.04650826027064174
Beef,0.6733333333333333,0.027888667551135844,0.6588822288822289,0.028799600170426227
BeetleFly,0.82,0.0670820393249937,0.7995872033023735,0.07488307315306188
BirdChicken,0.97,0.04472135954999579,0.9712918660287081,0.04157451482531763
CBF,0.9693333333333333,0.00811187211041953,0.9693880758790077,0.008138733919871882
Car,0.79,0.027888667551135844,0.7839489079448512,0.028704686329139806
Chinatown,0.9778425655976676,0.0026076594489793355,0.9844997511199602,0.0018476221217768132
ChlorineConcentration,0.5508854166666667,0.011785976155625457,0.41286994820989265,0.01221256503757262
CinCECGTorso,0.6639130434782609,0.051468153303308305,0.6651802246162843,0.0503659663443232
Coffee,0.9285714285714286,0.0,0.9285714285714286,0.0
Computers,0.7552,0.011099549540409297,0.7726728740905948,0.009605163393420513
CricketX,0.6410256410256411,0.024793691802325244,0.6349588328089119,0.02994279310617095
CricketY,0.6282051282051282,0.028205128205128185,0.6284304130330818,0.02939816107591125
CricketZ,0.6169230769230769,0.011409536133993328,0.6006930065392929,0.013990344941017295
Crop,0.4391547619047619,0.009469001520536278,0.4380147625980483,0.013203562668735304
DiatomSizeReduction,0.8790849673202614,0.0,0.8749211121695641,0.0
DistalPhalanxOutlineAgeGroup,0.7410071942446043,0.012460797176754532,0.7474731775578586,0.01806456833776033
DistalPhalanxOutlineCorrect,0.7492753623188406,0.015026406777773732,0.8025170174652934,0.011700505274598058
DistalPhalanxTW,0.6776978417266186,0.021219972955039742,0.4446004307431771,0.04493023548902046
DodgerLoopDay,0.4925,0.02270737765573119,0.4697140067485172,0.027108539088476845
DodgerLoopGame,0.8420289855072464,0.016524281523175897,0.83360610471193,0.0217103048471926
DodgerLoopWeekend,0.9826086956521739,0.003969004039892526,0.9677837837837838,0.007105589935202143
ECG200,0.884,0.008944271909999166,0.909097409335461,0.006796270567455344
ECG5000,0.9361333333333334,0.0015363898682172004,0.5129160779452748,0.016485459495932102
ECGFiveDays,0.9807200929152149,0.009167287925979595,0.9807142017911983,0.009279604811041972
EOGHorizontalSignal,0.49613259668508286,0.01807229528596258,0.4841845943636304,0.02125474942595748
EOGVerticalSignal,0.4298342541436464,0.026322937568114015,0.39244212708020143,0.02320409553665059
Earthquakes,0.7525179856115108,0.0064347279928051535,0.03273273273273273,0.0485196450704203
ElectricDevices,0.6476462196861626,0.018853878195187416,0.5546237506364345,0.020342071066700957
EthanolLevel,0.504,0.01200000000000001,0.49160251370455005,0.018139359594448727
FaceAll,0.6857988165680473,0.014176507160604656,0.71568665131142,0.02478647795499951
FaceFour,0.7977272727272727,0.050437138684482144,0.798516917966699,0.05247279805094158
FacesUCR,0.775609756097561,0.03229290398568508,0.7608634325400921,0.031131468924452538
FiftyWords,0.7046153846153846,0.008015201111565073,0.5460069279010911,0.030607743078478997
Fish,0.8914285714285713,0.031036515689143472,0.88866420535629,0.03258329315394558
FordA,0.9363636363636364,0.002208693899562633,0.9343501769024245,0.0024244535259195267
FordB,0.794074074074074,0.007876117485302005,0.7997214745157795,0.007249149695809976
FreezerRegularTrain,0.9869473684210526,0.00167173743853635,0.9868376393508687,0.0017145168525319488
FreezerSmallTrain,0.8037192982456141,0.017120506028886345,0.8116469686173735,0.014978728676249166
Fungi,0.03763440860215054,0.0,0.00402993667242372,0.0
GestureMidAirD1,0.563076923076923,0.021345287577710162,0.5533595250902943,0.03117570291090011
GestureMidAirD2,0.5676923076923077,0.02064062748461344,0.5371511428292804,0.020174935182307074
GestureMidAirD3,0.32461538461538464,0.04011816864740093,0.2970617868016783,0.04724047418179957
GesturePebbleZ1,0.8918604651162791,0.006628926890111279,0.88711071890137,0.007953728416840241
GesturePebbleZ2,0.8670886075949367,0.026476583118166922,0.8574884357218708,0.022771659541829966
GunPointAgeSpan,0.9753164556962025,0.002647658311816709,0.9747236582188039,0.0027180559131383896
GunPointMaleVersusFemale,0.9943037974683544,0.0014152328971517732,0.9940198748835742,0.0014859562319609275
GunPointOldVersusYoung,0.9784126984126984,0.004139176130287381,0.9794701709733232,0.003921516789076848
GunPoint,0.9773333333333334,0.00365148371670107,0.9768702445806164,0.0037289916608613362
Ham,0.7733333333333333,0.033265236564900914,0.7872898215744417,0.029579938354895047
HandOutlines,0.9227027027027027,0.008017511877941266,0.9405482429451308,0.006643869491450746
Haptics,0.4512987012987013,0.023186455936827423,0.42257561657218956,0.028105941331785747
Herring,0.671875,0.011048543456039806,0.531633837860253,0.06298253201433844
HouseTwenty,0.9327731092436975,0.008403361344537785,0.9147774509924566,0.01166088016297238
InlineSkate,0.30254545454545456,0.026272569990092285,0.30077211894954065,0.025243501447379035
InsectEPGRegularTrain,0.8401606425702811,0.026548584547852857,0.8133195941741936,0.042020947374285966
InsectEPGSmallTrain,0.6666666666666666,0.0,0.5680423420249001,0.0
InsectWingbeatSound,0.6037373737373737,0.005630803528149001,0.5898977046555699,0.00634038289251999
ItalyPowerDemand,0.9535471331389699,0.005068378935045764,0.952805302289172,0.005434935691940791
LargeKitchenAppliances,0.8384,0.012307179476495296,0.8381326435518242,0.012801070511960192
Lightning2,0.740983606557377,0.01795811663951362,0.773672081145155,0.011846319485658912
Lightning7,0.7643835616438356,0.017860828507404534,0.7331660997118759,0.021402244120493807
Mallat,0.8024733475479744,0.03153834549345678,0.7842046363151914,0.041395504429321335
Meat,0.8733333333333333,0.02236067977499791,0.8707138155975366,0.02481158493963454
MedicalImages,0.6571052631578947,0.00951562354303398,0.588161982085504,0.013226521552455423
MelbournePedestrian,0.7367773677736777,0.00976291996702801,0.7300198313905619,0.0100190478113951
MiddlePhalanxOutlineAgeGroup,0.5935064935064935,0.03361604962479167,0.49235916393356666,0.01909207172849844
MiddlePhalanxOutlineCorrect,0.7649484536082474,0.016044835092685564,0.8051728497558931,0.014116686237853044
MiddlePhalanxTW,0.5584415584415584,0.011247083166031674,0.4106275871669028,0.01315218560970107
MixedShapesRegularTrain,0.9057319587628866,0.00983917871432092,0.9025458623763416,0.010745703712838648
MixedShapesSmallTrain,0.8343917525773196,0.02073492932421367,0.8276668761262421,0.020306385661618454
MoteStrain,0.918849840255591,0.017164163207296253,0.9095099809699487,0.018525224264032567
NonInvasiveFetalECGThorax1,0.7902290076335878,0.0019511745051074404,0.7853555184354765,0.0034279352069522366
NonInvasiveFetalECGThorax2,0.8295165394402035,0.0125122553212664,0.8244707005041713,0.011944142753300009
OSULeaf,0.7743801652892562,0.04280401376059027,0.763525432947273,0.04125271236593907
OliveOil,0.8266666666666667,0.014907119849998594,0.7619598140650773,0.010191314315352761
PLAID,0.7512104283054004,0.012533570704256107,0.7309785009221887,0.019153901687852342
PhalangesOutlinesCorrect,0.7552447552447552,0.01524090539699533,0.8235662905842973,0.00994372238970205
Phoneme,0.22985232067510547,0.007368881517541344,0.13219398918429712,0.009009694882376448
PickupGestureWiimoteZ,0.632,0.07155417527999325,0.6157781597487479,0.06785921048890878
PigAirwayPressure,0.16442307692307692,0.03620163576349365,0.16824244759765122,0.03879584965811464
PigArtPressure,0.7548076923076923,0.07662200697360208,0.743134856596395,0.0822203743909387
PigCVP,0.6,0.09861044554414201,0.5987455493224724,0.09064877841792186
