Dataset,Accuracy,Acc. STD,F1,F1 STD
ACSF1,0.872,0.008366600265340763,0.8713029577472975,0.009024472456227168
Adiac,0.7959079283887468,0.004919535565644846,0.7714048124324026,0.005557347622347857
AllGestureWiimoteX,0.6614285714285715,0.004164965639175217,0.6485008191565275,0.00490333020138952
AllGestureWiimoteY,0.6734285714285714,0.011093296376181214,0.6651819094427335,0.011259986652828827
AllGestureWiimoteZ,0.6448571428571429,0.00480221037542047,0.6357952645896079,0.006903702108061604
ArrowHead,0.8994285714285714,0.005111012519999482,0.8995639413353369,0.0048182416772925615
BME,0.9506666666666667,0.0036514837167011312,0.9513791890970928,0.0035818180825841197
Beef,0.7333333333333333,0.03333333333333338,0.7316898395721925,0.03521451934507573
BeetleFly,0.95,0.0,0.9473684210526316,0.0
BirdChicken,0.89,0.022360679774997918,0.8987012987012987,0.023231875090906864
CBF,0.9931111111111111,0.0009296222517045277,0.9931006942041626,0.0009390602638708314
Car,0.9,0.0,0.8945175438596491,0.0
Chinatown,0.9854227405247813,0.0,0.9898580121703854,0.0
ChlorineConcentration,0.7332291666666667,0.004740012572138164,0.6918423729396245,0.00818972482986497
CinCECGTorso,0.8543478260869566,0.006127367581625991,0.8543540998264776,0.006317352445270611
Coffee,1.0,0.0,1.0,0.0
Computers,0.7544,0.012198360545581535,0.7591812132852226,0.012645618046943353
CricketX,0.7707692307692308,0.007606357422662225,0.767745568791917,0.0076935161265900935
CricketY,0.7553846153846153,0.013397282541141699,0.754454782816673,0.010990663617792064
CricketZ,0.7974358974358975,0.005733507634614875,0.7785877867013709,0.006994981550614321
Crop,0.7031190476190476,0.0012532553981413638,0.6808936006065717,0.0012765437310903413
DiatomSizeReduction,0.9712418300653595,0.005369828995148668,0.9604574731176685,0.006147162238532693
DistalPhalanxOutlineAgeGroup,0.7050359712230215,0.03257332783502667,0.6898396957127614,0.039660150357150065
DistalPhalanxOutlineCorrect,0.7630434782608696,0.005494837278298191,0.8140987121157094,0.00429793215752685
DistalPhalanxTW,0.6719424460431654,0.003940450053994037,0.5170055983298932,0.025522339013815384
DodgerLoopDay,0.645,0.018957188610128906,0.626792239966153,0.02242264039737879
DodgerLoopGame,0.8942028985507247,0.003969004039892526,0.8835555555555556,0.004868644955601447
DodgerLoopWeekend,0.9855072463768116,0.0,0.972972972972973,0.0
ECG200,0.894,0.01140175425099139,0.919862332558794,0.008060244447881218
ECG5000,0.9294666666666667,0.004512260389999722,0.571370572273217,0.03482642986746157
ECGFiveDays,0.9976771196283392,0.0,0.9976958525345622,0.0
EOGHorizontalSignal,0.5629834254143646,0.004941586690607266,0.5372220608323267,0.007888176955849964
EOGVerticalSignal,0.469060773480663,0.015180808468545963,0.4234116415036756,0.01774442116388426
Earthquakes,0.7381294964028777,0.008202700899993781,0.20641476880607315,0.0530853738699261
ElectricDevices,0.7650888341330567,0.0033273709790182042,0.6783910125026704,0.005295566093693487
EthanolLevel,0.522,0.006633249580710806,0.455208510837483,0.009396967766918429
FaceAll,0.7802366863905326,0.01252845925229039,0.8310671941335297,0.012251794782094793
FaceFour,0.9545454545454546,0.008035304331665305,0.9591564601960029,0.007353106573603844
FacesUCR,0.9507317073170731,0.0009756097560975618,0.9400464892782697,0.0015752569361478996
FiftyWords,0.7986813186813188,0.005938134543343451,0.6649322104605951,0.008631481280494215
Fish,0.9405714285714286,0.00651528814342367,0.9373737878426401,0.006983722878724709
FordA,0.9427272727272727,0.003413297068505694,0.94070790419392,0.0036738180332259647
FordB,0.7950617283950617,0.00766029237406846,0.7972348837795583,0.008249596981733234
FreezerRegularTrain,0.9948070175438597,0.0004574878880844072,0.9947797396599645,0.000462207701118453
FreezerSmallTrain,0.9070175438596492,0.002566445410232974,0.9107431310265833,0.002515846298212431
Fungi,0.03763440860215054,0.0,0.00402993667242372,0.0
GestureMidAirD1,0.6815384615384615,0.00688020916153779,0.6686657359734284,0.0067628021012548604
GestureMidAirD2,0.6461538461538462,0.012162606385263007,0.6390700752239215,0.013448141970703258
GestureMidAirD3,0.3523076923076923,0.010029542161850242,0.31826782192166814,0.00819502291502317
GesturePebbleZ1,0.8953488372093024,0.0,0.8878881460534686,0.0
GesturePebbleZ2,0.859493670886076,0.005295316623633378,0.8574748249761754,0.005379859049771332
GunPointAgeSpan,0.9867088607594937,0.0014152328971517732,0.9864619852712374,0.0014194311816511105
GunPointMaleVersusFemale,0.9962025316455696,0.0014152328971517732,0.9960176893797716,0.0014759199869088455
GunPointOldVersusYoung,0.9853968253968254,0.0028394513999997787,0.9861752669630889,0.002646657467321052
GunPoint,0.9933333333333333,0.0,0.9932885906040269,0.0
Ham,0.6704761904761904,0.01277753129999881,0.6991120229359005,0.01197030744822638
HandOutlines,0.9313513513513514,0.001480331236500434,0.9475433977718137,0.0010580066560331826
Haptics,0.4636363636363636,0.0070387933080126005,0.4561123347429966,0.007219342181865852
Herring,0.59375,0.019136638615493577,0.48823529411764705,0.021436314303868945
HouseTwenty,0.9512605042016806,0.010956642697819595,0.9389007092198581,0.013906338883208556
InlineSkate,0.42618181818181816,0.006111904114171488,0.42966282667603944,0.006106328898889609
InsectEPGRegularTrain,0.793574297188755,0.006090663007270324,0.7642141339060826,0.007934471443039937
InsectEPGSmallTrain,0.7228915662650602,0.022895088857412413,0.7001414101419515,0.020752772983623893
InsectWingbeatSound,0.6128282828282828,0.05436581905388582,0.5992662094697537,0.06483955963751913
ItalyPowerDemand,0.9652089407191448,0.0014414379955482338,0.9650864434394165,0.001457989741919984
LargeKitchenAppliances,0.7808,0.0029211869733608833,0.77945497718508,0.0031222322861384753
Lightning2,0.780327868852459,0.014662740836064211,0.8034953111679455,0.013516462059427031
Lightning7,0.7424657534246575,0.011461096253891452,0.7365043507281455,0.01512949767938598
Mallat,0.9474626865671641,0.006182633586162689,0.9472296088754006,0.006301879027674738
Meat,0.9666666666666667,0.0,0.9665831244778613,0.0
MedicalImages,0.6902631578947368,0.004423088503676724,0.6373139914477437,0.006684803357294006
MelbournePedestrian,0.8829028290282903,0.005051543364087368,0.8808206298211103,0.005203952254491332
MiddlePhalanxOutlineAgeGroup,0.512987012987013,0.02940060109784877,0.44886602485408367,0.023257681604060155
MiddlePhalanxOutlineCorrect,0.8240549828178695,0.00820435490468272,0.8486984656151629,0.006967351118589791
MiddlePhalanxTW,0.512987012987013,0.023858666325810175,0.35917970328094784,0.015849934941384872
MixedShapesRegularTrain,0.9531546391752577,0.000855110983642382,0.9521070775909117,0.0007024061711012908
MixedShapesSmallTrain,0.9043298969072164,0.001867089719203582,0.9003985237312783,0.001923631285639716
MoteStrain,0.9343450479233227,0.0024876056713094693,0.9276527664419014,0.0027574214668672882
NonInvasiveFetalECGThorax1,0.9202035623409669,0.003798088174462156,0.9127427476622826,0.003828047853176949
NonInvasiveFetalECGThorax2,0.9454452926208651,0.002726329819028783,0.9392962135502793,0.0027316483379329825
OSULeaf,0.7214876033057851,0.009053265413308533,0.7180091695621434,0.00897894002893978
OliveOil,0.88,0.018257418583505533,0.8260939849624059,0.043288191693472616
PLAID,0.9217877094972067,0.0034838523154319865,0.8657436789685575,0.006415013121633863
PhalangesOutlinesCorrect,0.8321678321678322,0.004360906045191074,0.869567435967371,0.003237019279708901
Phoneme,0.17774261603375527,0.00474683544303798,0.11700603643726708,0.0037119878082277776
PickupGestureWiimoteZ,0.784,0.008944271909999168,0.7688566988566988,0.014713520890907746
PigAirwayPressure,0.17307692307692307,0.007601628990789368,0.17364213777675316,0.009098686535675513
PigArtPressure,0.6028846153846154,0.014261920167491652,0.5820312593389516,0.01578754874721476
PigCVP,0.5971153846153846,0.015726372340188605,0.5927849714388176,0.016277517089657897
Plane,1.0,0.0,1.0,0.0
PowerCons,0.9688888888888889,0.004969039949999515,0.9686639522772464,0.00515190938078466
ProximalPhalanxOutlineAgeGroup,0.751219512195122,0.12569852416317193,0.6792528761487701,0.11876598562057515
ProximalPhalanxOutlineCorrect,0.8920962199312715,0.012994962475044019,0.9243392751177888,0.009805094594485303
ProximalPhalanxTW,0.7668292682926829,0.008015452061051219,0.5042899841087127,0.030110790496945383
RefrigerationDevices,0.5136,0.006422183775355862,0.50612331314868,0.007035422168703736
Rock,0.892,0.017888543819998333,0.8924263545689228,0.021170679416215227
ScreenType,0.4245333333333333,0.019174056546397377,0.4252714797047662,0.018627116908071225
SemgHandGenderCh2,0.925,0.008079466429027201,0.8947844991424466,0.010368866191371617
SemgHandMovementCh2,0.5582222222222222,0.013913311859998684,0.5572887408798345,0.013592039091186418
SemgHandSubjectCh2,0.8884444444444445,0.005067446333773923,0.8888319535430812,0.004987308989136792
ShakeGestureWiimoteZ,0.852,0.010954451150103331,0.830016095016095,0.0176160108945241
ShapeletSim,0.8866666666666667,0.02955430239615643,0.8914022947891284,0.028650170695771967
ShapesAll,0.8573333333333333,0.0041833001326703504,0.8481181329108797,0.004165355333245359
SmallKitchenAppliances,0.8069333333333334,0.0048442405665559815,0.8061864131418709,0.004643696875809876
SmoothSubspace,0.964,0.0036514837167011312,0.96399799979998,0.0036496577922503245
SonyAIBORobotSurface1,0.7946755407653909,0.005835500138685579,0.8038366432948859,0.004363952605262859
SonyAIBORobotSurface2,0.8799580272822665,0.0038267749273474265,0.8981522812897093,0.003072517267065994
StarLightCurves,0.9751092763477416,0.0012471247319192507,0.9653867258494724,0.0015437708410381463
Strawberry,0.9778378378378378,0.0012086853932431172,0.9825757474831232,0.0009419180148541929
SwedishLeaf,0.9584,0.004664761515876231,0.9590309173880556,0.004704547010229285
Symbols,0.9593969849246231,0.0061380629083829024,0.9591543399358984,0.00631221849153157
SyntheticControl,0.988,0.006497862896539292,0.9879907358482947,0.006513014955081192
ToeSegmentation1,0.9157894736842105,0.009508545345911725,0.9090733181721342,0.012084754672932985
ToeSegmentation2,0.8815384615384615,0.008770580193070296,0.7280529907202521,0.015899187968633374
Trace,1.0,0.0,1.0,0.0
TwoLeadECG,0.9942054433713784,0.0004808802085208044,0.9942155987348923,0.0004800461477883961
TwoPatterns,0.99895,0.00041079191812887667,0.9989334559291304,0.00042291712449720695
UMD,0.9930555555555556,0.0,0.993054801953337,0.0
UWaveGestureLibraryAll,0.9683417085427136,0.000938455405581868,0.9680993298700858,0.0009571276409930394
UWaveGestureLibraryX,0.8072026800670017,0.004627887389190884,0.7887704456828717,0.00746971370170095
UWaveGestureLibraryY,0.7325516471245115,0.002098450080733196,0.7237038602075434,0.0019633662619103287
UWaveGestureLibraryZ,0.7355108877721943,0.004208953583413582,0.7219718952403816,0.004742405929774347
Wafer,0.9970149253731343,0.0001451049952952172,0.9983275833689307,8.11161279819491e-05
Wine,0.9444444444444444,0.0,0.9411764705882353,0.0
WordSynonyms,0.7087774294670847,0.003014950479885818,0.5837414023386598,0.006619821076661362
WormsTwoClass,0.6935064935064935,0.05323091306992001,0.7244739756367663,0.04649448610978268
Worms,0.6545454545454545,0.021731429260625348,0.6414939727695077,0.015297829142712703
Yoga,0.8955333333333333,0.004381780460041314,0.9041233211833846,0.003852181041414646
