Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
ToeSegmentation1,0.8885959999999999,0.0165530330755423,0.887872,0.016850599277177
ToeSegmentation2,0.8876899999999999,0.026911558111711,0.833916,0.0309658912999448
Trace,1.0,0.0,1.0,0.0
TwoLeadECG,0.8941199999999998,0.0363555426310762,0.8929,0.0371187704537744
TwoPatterns,0.93865,0.0023377339455121,0.938326,0.0023835066603641
UMD,0.956942,0.006805907433987,0.95688,0.0068954912805397
UWaveGestureLibraryAll,0.92116,0.0040676922204119,0.92021,0.0040268945851611
UWaveGestureLibraryX,0.792964,0.0018840764315706,0.77476,0.0027444270804668
UWaveGestureLibraryY,0.698658,0.0042911369122879,0.689998,0.0046464024793381
UWaveGestureLibraryZ,0.73551,0.0044036394039475,0.722406,0.0058618584083889
Wafer,0.989714,0.0022932213150936,0.972844,0.0064998664601666
Wine,0.785186,0.0300882379676843,0.7779159999999999,0.0338013642328235
WordSynonyms,0.6300939999999999,0.009301261419829,0.495366,0.0119149966009227
Worms,0.72727,0.0,0.6925160000000001,0.0091469242918043
WormsTwoClass,0.748052,0.0302878506335461,0.741108,0.0300356031402733
Yoga,0.7346679999999999,0.0127853391038329,0.731004,0.0121684832251189
