Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
Crop,0.52887,0.0041123034907457785,0.5190400000000001,0.006264155170491858
ElectricDevices,0.40332,0.02156005102034779,0.317536,0.036278019019786625
FordA,0.7793939999999999,0.010111645958992053,0.777476,0.011187819447953216
FordB,0.614568,0.014362678580264876,0.56059,0.02820067375081668
HandOutlines,0.686486,0.0038226200438965783,0.562038,0.01654281402905805
PhalangesOutlinesCorrect,0.671796,0.015189344422982864,0.57452,0.039512359585324695
TwoPatterns,0.6879500000000001,0.029473038526762058,0.654558,0.03903513104883855
