Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
Crop,0.467726,0.011549887618500884,0.43635599999999997,0.014189060011149435
ElectricDevices,0.41909,0.030245173499254385,0.292254,0.03806089152923247
FordA,0.725452,0.056317122582745655,0.711908,0.07583630434033553
FordB,0.5787660000000001,0.022214073557094382,0.48937600000000003,0.04782390640673343
HandOutlines,0.6848639999999999,0.014566002334202757,0.5738099999999999,0.051777588201846594
PhalangesOutlinesCorrect,0.557342,0.09081680536112245,0.527522,0.11726524658226749
TwoPatterns,0.6655,0.01848039501742321,0.63132,0.025052476923450112
