Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
Crop,0.600368,0.010676245407445427,0.578744,0.013156094557276492
ElectricDevices,0.59751,0.07714381375068258,0.518934,0.09447599644354115
FordA,0.9036380000000002,0.02822198107858485,0.9033680000000001,0.028671405546292984
FordB,0.7237020000000001,0.02860910722130282,0.711892,0.03713710564920212
HandOutlines,0.852972,0.011156812089481462,0.8376199999999999,0.014390881835384535
PhalangesOutlinesCorrect,0.6153839999999999,0.10494038242735727,0.591926,0.10784449519562876
TwoPatterns,0.79025,0.02748681502102415,0.78499,0.030078020546571896
