Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
Crop,0.551738,0.0045674123965326425,0.546132,0.004544096829954218
ElectricDevices,0.6193480000000001,0.006337249876720989,0.561396,0.0034724320007741075
FordA,0.810304,0.0049931857566087095,0.8101160000000001,0.0049831901428703295
FordB,0.641728,0.0028575052055945555,0.6108399999999999,0.002962323412458536
HandOutlines,0.68865,0.0020204949888579073,0.5752140000000001,0.002501876096052745
PhalangesOutlinesCorrect,0.711422,0.003942635666657516,0.64873,0.004883900080878014
TwoPatterns,0.6435,0.001962141687034857,0.5917199999999999,0.002633241348604399
