Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
Crop,0.679308,0.004449860222523838,0.6655420000000001,0.0059916488548645945
ElectricDevices,0.7117600000000001,0.01183475052546525,0.648078,0.01830861152572745
FordA,0.9410620000000002,0.0005687319227896263,0.941018,0.0005594783284453476
FordB,0.8083940000000001,0.013509473120740127,0.8080020000000001,0.013859140521691812
HandOutlines,0.916756,0.0052400328243246705,0.9088179999999999,0.006057476042049175
PhalangesOutlinesCorrect,0.78345,0.007198847129922951,0.750338,0.013727078931804821
TwoPatterns,0.9218999999999999,0.00884816365128948,0.9213340000000001,0.008918794985871118
