dataset,n_kernels,compression,f1_mean,f1_std,comm_costs
BeetleFly,10000,1,0.919342,0.02492600762256164,231312348.8
BeetleFly,10000,10,0.919342,0.02492600762256164,51212689.6
BeetleFly,10000,100,0.919342,0.02492600762256164,4601329.6
BeetleFly,10000,1000,0.919342,0.02492600762256164,652993.6
BirdChicken,10000,1,0.8989899999999998,1.1102230246251565e-16,241912679.2
BirdChicken,10000,10,0.8989899999999998,1.1102230246251565e-16,52164023.2
BirdChicken,10000,100,0.8989899999999998,1.1102230246251565e-16,4687223.2
BirdChicken,10000,1000,0.8989899999999998,1.1102230246251565e-16,652343.2
Crop,10000,1,0.6746320000000001,0.0023687414379792533,304548550.4
Crop,10000,10,0.039722,0.0064984779756493746,58802124.8
Crop,10000,100,0.367984,0.004685781044820585,6573324.8
Crop,10000,1000,0.050144,0.01503040332126853,2063244.8
DiatomSizeReduction,10000,1,0.963786,0.005678047551755811,191798905.6
DiatomSizeReduction,10000,10,0.963786,0.005678047551755811,47429712.0
DiatomSizeReduction,10000,100,0.963786,0.005678047551755811,4287312.0
DiatomSizeReduction,10000,1000,0.963786,0.005678047551755811,685872.0
ElectricDevices,10000,1,0.6539879999999999,0.004563329486241376,293320822.4
ElectricDevices,10000,10,0.134148,0.01498993048683015,57123556.8
ElectricDevices,10000,100,0.150086,0.008821554511535932,5662276.8
ElectricDevices,10000,1000,0.357734,0.027436054089464097,1228948.8
FordA,10000,1,0.939014,0.00470965221645929,277619282.4
FordA,10000,10,0.520926,0.010209863074498107,55471948.0
FordA,10000,100,0.526572,0.02019826863867297,5166988.0
FordA,10000,1000,0.5172939999999999,0.026147041591736513,849292.0
FordB,10000,1,0.798492,0.008754236460137451,287677420.0
FordB,10000,10,0.526098,0.037074775467964734,56341676.0
FordB,10000,100,0.5367160000000001,0.02863789279957588,5276396.0
FordB,10000,1000,0.540104,0.014520301098806466,882668.0
Fungi,10000,1,0.00403,0.0,212289279.2
Fungi,10000,10,0.00403,0.0,49891751.2
Fungi,10000,100,0.00403,0.0,5042951.2
Fungi,10000,1000,0.00403,0.0,1270871.2
InsectEPGSmallTrain,10000,1,0.66092,0.0042142377721244096,258499708.0
InsectEPGSmallTrain,10000,10,0.66092,0.0042142377721244096,53681511.2
InsectEPGSmallTrain,10000,100,0.66092,0.0042142377721244096,4901511.2
InsectEPGSmallTrain,10000,1000,0.66092,0.0042142377721244096,736311.2
NonInvasiveFetalECGThorax1,10000,1,0.873968,0.0030289100349795827,292946889.6
NonInvasiveFetalECGThorax1,10000,10,0.439742,0.35237817556710294,58453344.0
NonInvasiveFetalECGThorax1,10000,100,0.293334,0.1894269518943912,7131744.0
NonInvasiveFetalECGThorax1,10000,1000,0.054079999999999996,0.01965802635057752,2712384.0
