Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
Crop,0.680154,0.001589875466821201,0.6657379999999999,0.001609650893827606
ElectricDevices,0.70756,0.0034966955829754507,0.643,0.005652539252406826
FordA,0.943484,0.0027339100204651808,0.943418,0.002746251263085723
FordB,0.813828,0.0031618943688871124,0.813604,0.0030334178742797637
HandOutlines,0.920542,0.005566828181289589,0.912946,0.005624345650829053
MelbournePedestrian,0.906602,0.0047062571115483965,0.90554,0.004775751249803555
NonInvasiveFetalECGThorax1,0.872062,0.006989982546473207,0.8635219999999999,0.007332097653468636
NonInvasiveFetalECGThorax2,0.8925180000000001,0.004656618515618371,0.884794,0.004881297368528162
PhalangesOutlinesCorrect,0.7869439999999999,0.007882371724297184,0.75653,0.010186887650308103
StarLightCurves,0.973922,0.003124742549395056,0.9640260000000002,0.0029299597266856784
TwoPatterns,0.9247,0.008745570307304131,0.92426,0.008863994584835905
Wafer,0.994806,0.0011280709197563983,0.986406,0.003005898201869095
