Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
Crop,0.45651,0.01096890149468032,0.41628,0.018820866079965613
ElectricDevices,0.47288399999999997,0.04387236697512456,0.3469,0.056997829783247016
FordA,0.766212,0.013353386686530124,0.761692,0.016997434394637346
FordB,0.608148,0.0206530698928755,0.558098,0.043043313255371037
HandOutlines,0.702704,0.02569696993810747,0.6208020000000001,0.09219100854204818
MelbournePedestrian,0.594838,0.03669021253686056,0.5520539999999999,0.04876015241977816
NonInvasiveFetalECGThorax1,0.23949000000000004,0.0380381666224859,0.17907599999999999,0.03866267585152378
NonInvasiveFetalECGThorax2,0.26514000000000004,0.036437387392621874,0.196808,0.04087780248496731
PhalangesOutlinesCorrect,0.650114,0.01774229703279708,0.549174,0.08501436786802571
StarLightCurves,0.9127240000000001,0.01069224878124335,0.8999280000000001,0.01493733363087268
TwoPatterns,0.62345,0.0593014333722213,0.5775220000000001,0.09923874553822211
Wafer,0.901366,0.018252385707079488,0.534308,0.12333128822808913
