Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
Crop,0.524572,0.0071889787870044386,0.5144780000000001,0.009904504833660297
ElectricDevices,0.421478,0.019576192070982552,0.32840400000000003,0.028558569011769477
FordA,0.797272,0.004969021634084515,0.7971839999999999,0.004875488078131255
FordB,0.621482,0.004322107819108644,0.5731539999999999,0.008040081094118396
HandOutlines,0.691352,0.007130064235334792,0.574886,0.021505497529701573
MelbournePedestrian,0.8054960000000001,0.015125833001854798,0.8054559999999998,0.01696777840496508
NonInvasiveFetalECGThorax1,0.448348,0.004008378225666827,0.423566,0.004216366208004241
NonInvasiveFetalECGThorax2,0.535982,0.02923716224259799,0.517554,0.027736587100795226
PhalangesOutlinesCorrect,0.6575759999999999,0.00770790140051105,0.5464899999999999,0.02081777797940983
StarLightCurves,0.937398,0.004742313359532437,0.921106,0.005846943132954184
TwoPatterns,0.6807,0.022123177891071613,0.640202,0.02474876918151689
Wafer,0.912524,0.016196814007699165,0.62293,0.1065706291620726
