Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
Crop,0.7178699999999999,0.0016476407375396165,0.709312,0.0017779471308225162
ElectricDevices,0.751136,0.004174362705851029,0.671294,0.0055378790163743965
FordA,0.9492419999999999,0.0013572973145188367,0.949196,0.001355058670316556
FordB,0.8192579999999999,0.0012602444207374924,0.8191839999999999,0.0012783207735150356
HandOutlines,0.937298,0.003971983887177827,0.9309160000000001,0.004449452101101914
MelbournePedestrian,0.9435839999999999,0.001968000000000022,0.9431280000000001,0.002013627572318181
NonInvasiveFetalECGThorax1,0.8979140000000001,0.001891397367027881,0.8902519999999999,0.0023601898228744235
NonInvasiveFetalECGThorax2,0.928752,0.0013647475957113864,0.9231679999999999,0.0014107076238540756
PhalangesOutlinesCorrect,0.8088580000000001,0.00295040607374647,0.7836439999999999,0.0038431997085761616
StarLightCurves,0.980354,0.0002978321675037528,0.9709300000000001,0.00033549962742155433
TwoPatterns,0.9621999999999999,0.0016309506430300194,0.962064,0.0016434670669045793
Wafer,0.99724,0.00010119288512538401,0.9928079999999999,0.0002688047618625534
